Tool and replicate,FP_class (called more than 30% of features significant),% of significant features,Tool,normalized depth difference,geometric mean difference,mean depth across dataset,dataset
Wilcoxon (CLR).63,FALSE,0,Wilcoxon (CLR),0.001606954,0.000573592,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).64,FALSE,0,Wilcoxon (CLR),0.034175892,0.000112328,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).65,FALSE,0,Wilcoxon (CLR),0.039497083,0.000713566,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).66,FALSE,0,Wilcoxon (CLR),0.038278077,0.000473726,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).67,FALSE,0,Wilcoxon (CLR),0.059052624,0.001216738,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).68,FALSE,0,Wilcoxon (CLR),0.088826893,0.001358643,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).69,FALSE,0,Wilcoxon (CLR),0.100110173,0.000336985,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).70,FALSE,0,Wilcoxon (CLR),0.058551559,0.000212872,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).71,FALSE,0,Wilcoxon (CLR),0.033558922,0.000810103,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).72,FALSE,0,Wilcoxon (CLR),0.126550158,0.002053621,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).73,FALSE,0,Wilcoxon (CLR),0.077933768,0.001349832,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).74,FALSE,0,Wilcoxon (CLR),0.026193396,8.67E-05,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).75,FALSE,0,Wilcoxon (CLR),0.031874294,0.000435867,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).76,FALSE,0,Wilcoxon (CLR),0.032875951,0.000777472,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).77,FALSE,0,Wilcoxon (CLR),0.081934508,0.001286536,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).78,TRUE,89.51628885,Wilcoxon (CLR),0.079565438,0.001637739,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).79,FALSE,0,Wilcoxon (CLR),0.034651505,0.000931389,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).80,FALSE,0,Wilcoxon (CLR),0.034999222,5.04E-05,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).81,FALSE,0,Wilcoxon (CLR),0.069132938,0.001498725,8499.526539,Freshwater - Arctic
